actor_id,area,lat,lng,admin_bound,created,last_updated,datasource_id
OC_ACTOR_58,0,47.71,47.71,NULL,2022-10-11,2022-10-11,OC_DATASOURCE_7
OC_ACTOR_59,0,47.4,47.4,NULL,2022-10-11,2022-10-11,OC_DATASOURCE_7
OC_ACTOR_61,0,38.0269999,-4.5245274,NULL,2022-10-11,2022-10-11,OC_DATASOURCE_7
OC_ACTOR_62,0,9.0107934,38.7612525,NULL,2022-10-11,2022-10-11,OC_DATASOURCE_7
OC_ACTOR_63,0,28.1219416,-16.7241892,NULL,2022-10-11,2022-10-11,OC_DATASOURCE_7
OC_ACTOR_65,0,40.0632676,-1.2862303,NULL,2022-10-11,2022-10-11,OC_DATASOURCE_7
OC_ACTOR_66,0,46.096196,27.18219,NULL,2022-10-11,2022-10-11,OC_DATASOURCE_7
OC_ACTOR_73,0,38.9177071,-0.2249926,NULL,2022-10-11,2022-10-11,OC_DATASOURCE_7
OC_ACTOR_74,0,36.748834,-3.0203616,NULL,2022-10-11,2022-10-11,OC_DATASOURCE_7
OC_ACTOR_75,0,37.661966,14.8333672,NULL,2022-10-11,2022-10-11,OC_DATASOURCE_7
OC_ACTOR_76,0,45.06,12.05,NULL,2022-10-11,2022-10-11,OC_DATASOURCE_7
OC_ACTOR_78,0,45.5540914,10.7764241,NULL,2022-10-11,2022-10-11,OC_DATASOURCE_7
OC_ACTOR_79,0,40.923039,14.309304,NULL,2022-10-11,2022-10-11,OC_DATASOURCE_7
OC_ACTOR_80,0,30.4211631,-9.5830754,NULL,2022-10-11,2022-10-11,OC_DATASOURCE_7
OC_ACTOR_81,0,28.100259,-15.699674,NULL,2022-10-11,2022-10-11,OC_DATASOURCE_7
OC_ACTOR_82,0,44.97,9.5,NULL,2022-10-11,2022-10-11,OC_DATASOURCE_7
OC_ACTOR_83,0,42.0000879,0.7632247,NULL,2022-10-11,2022-10-11,OC_DATASOURCE_7
OC_ACTOR_84,0,40.637707,14.538839,NULL,2022-10-11,2022-10-11,OC_DATASOURCE_7
OC_ACTOR_86,0,36.8243276,22.2811442,NULL,2022-10-11,2022-10-11,OC_DATASOURCE_7
OC_ACTOR_87,0,35.3679711,24.7654756,NULL,2022-10-11,2022-10-11,OC_DATASOURCE_7
OC_ACTOR_88,0,39.2475388,26.2711986,NULL,2022-10-11,2022-10-11,OC_DATASOURCE_7
OC_ACTOR_89,0,35.2987865,25.5038784,NULL,2022-10-11,2022-10-11,OC_DATASOURCE_7
OC_ACTOR_90,0,38.0,38.0,NULL,2022-10-11,2022-10-11,OC_DATASOURCE_7
OC_ACTOR_91,0,38.04002425,23.72967476,NULL,2022-10-11,2022-10-11,OC_DATASOURCE_7
OC_ACTOR_92,0,34.7093395,33.0504749,NULL,2022-10-11,2022-10-11,OC_DATASOURCE_7
OC_ACTOR_93,0,37.278059,21.8158215,NULL,2022-10-11,2022-10-11,OC_DATASOURCE_7
OC_ACTOR_94,0,37.96,37.96,NULL,2022-10-11,2022-10-11,OC_DATASOURCE_7
OC_ACTOR_95,0,37.661603,14.51201,NULL,2022-10-11,2022-10-11,OC_DATASOURCE_7
OC_ACTOR_97,0,45.1702381,11.9603017,NULL,2022-10-11,2022-10-11,OC_DATASOURCE_7
OC_ACTOR_98,0,41.8095612,14.3770463,NULL,2022-10-11,2022-10-11,OC_DATASOURCE_7
OC_ACTOR_99,0,45.649686,10.35267,NULL,2022-10-11,2022-10-11,OC_DATASOURCE_7
OC_ACTOR_100,0,5.641591,-0.74846,NULL,2022-10-11,2022-10-11,OC_DATASOURCE_7
OC_ACTOR_101,0,46.3,12.05,NULL,2022-10-11,2022-10-11,OC_DATASOURCE_7
OC_ACTOR_102,0,38.436906,-0.6396686,NULL,2022-10-11,2022-10-11,OC_DATASOURCE_7
OC_ACTOR_103,0,39.1359953,21.6494392,NULL,2022-10-11,2022-10-11,OC_DATASOURCE_7
OC_ACTOR_104,0,41.7876693,1.0986828,NULL,2022-10-11,2022-10-11,OC_DATASOURCE_7
OC_ACTOR_105,0,45.5762329,9.3524409,NULL,2022-10-11,2022-10-11,OC_DATASOURCE_7
OC_ACTOR_106,0,38.7799007,-0.5157277,NULL,2022-10-11,2022-10-11,OC_DATASOURCE_7
OC_ACTOR_107,0,37.309407,13.585982,NULL,2022-10-11,2022-10-11,OC_DATASOURCE_7
OC_ACTOR_108,0,38.6247709,21.4095037,NULL,2022-10-11,2022-10-11,OC_DATASOURCE_7
OC_ACTOR_109,0,37.0146613,-3.815307718,NULL,2022-10-11,2022-10-11,OC_DATASOURCE_7
OC_ACTOR_110,0,34.9176417,33.0184087,NULL,2022-10-11,2022-10-11,OC_DATASOURCE_7
OC_ACTOR_111,0,37.2530195,-4.9906166,NULL,2022-10-11,2022-10-11,OC_DATASOURCE_7
OC_ACTOR_112,0,40.59463245,-8.416003767,NULL,2022-10-11,2022-10-11,OC_DATASOURCE_7
OC_ACTOR_113,0,41.7394902,1.6316676,NULL,2022-10-11,2022-10-11,OC_DATASOURCE_7
OC_ACTOR_114,0,37.4099628,-1.5804921,NULL,2022-10-11,2022-10-11,OC_DATASOURCE_7
OC_ACTOR_115,0,42.3938409,2.8469168,NULL,2022-10-11,2022-10-11,OC_DATASOURCE_7
OC_ACTOR_116,0,38.8233412,-0.5473744,NULL,2022-10-11,2022-10-11,OC_DATASOURCE_7
OC_ACTOR_117,0,38.259139,-5.865061,NULL,2022-10-11,2022-10-11,OC_DATASOURCE_7
OC_ACTOR_118,0,52.75,9.51,NULL,2022-10-11,2022-10-11,OC_DATASOURCE_7
OC_ACTOR_119,0,45.639977,9.414949,NULL,2022-10-11,2022-10-11,OC_DATASOURCE_7
OC_ACTOR_120,0,40.0,8.0,NULL,2022-10-11,2022-10-11,OC_DATASOURCE_7
OC_ACTOR_121,0,37.415915,14.445496,NULL,2022-10-11,2022-10-11,OC_DATASOURCE_7
OC_ACTOR_122,0,42.08083,13.590599,NULL,2022-10-11,2022-10-11,OC_DATASOURCE_7
OC_ACTOR_123,0,39.1174689,16.1666633,NULL,2022-10-11,2022-10-11,OC_DATASOURCE_7
OC_ACTOR_124,0,40.884294,14.816278,NULL,2022-10-11,2022-10-11,OC_DATASOURCE_7
OC_ACTOR_125,0,38.8820867,-0.3442155,NULL,2022-10-11,2022-10-11,OC_DATASOURCE_7
OC_ACTOR_126,0,37.9928313,23.68159021,NULL,2022-10-11,2022-10-11,OC_DATASOURCE_7
OC_ACTOR_127,0,38.140844,22.25179945,NULL,2022-10-11,2022-10-11,OC_DATASOURCE_7
OC_ACTOR_128,0,41.7692525,2.2517162,NULL,2022-10-11,2022-10-11,OC_DATASOURCE_7
OC_ACTOR_129,0,41.329339,1.3585409,NULL,2022-10-11,2022-10-11,OC_DATASOURCE_7
OC_ACTOR_130,0,41.9381188,2.7626201,NULL,2022-10-11,2022-10-11,OC_DATASOURCE_7
OC_ACTOR_131,0,38.500265,-0.3634257,NULL,2022-10-11,2022-10-11,OC_DATASOURCE_7
OC_ACTOR_132,0,41.391372,14.207422,NULL,2022-10-11,2022-10-11,OC_DATASOURCE_7
OC_ACTOR_133,0,41.8160689,-1.5196969,NULL,2022-10-11,2022-10-11,OC_DATASOURCE_7
OC_ACTOR_134,0,20.295336,-103.183255,NULL,2022-10-11,2022-10-11,OC_DATASOURCE_7
OC_ACTOR_135,0,44.917111,7.489349,NULL,2022-10-11,2022-10-11,OC_DATASOURCE_7
OC_ACTOR_136,0,41.0610225,14.5584304,NULL,2022-10-11,2022-10-11,OC_DATASOURCE_7
OC_ACTOR_137,0,45.75388,9.424247,NULL,2022-10-11,2022-10-11,OC_DATASOURCE_7
OC_ACTOR_138,0,41.4939531,0.4591083,NULL,2022-10-11,2022-10-11,OC_DATASOURCE_7
OC_ACTOR_139,0,46.3108411,23.7188503,NULL,2022-10-11,2022-10-11,OC_DATASOURCE_7
OC_ACTOR_140,0,42.0,42.0,NULL,2022-10-11,2022-10-11,OC_DATASOURCE_7
OC_ACTOR_141,0,42.43,42.43,NULL,2022-10-11,2022-10-11,OC_DATASOURCE_7
OC_ACTOR_142,0,42.09,42.09,NULL,2022-10-11,2022-10-11,OC_DATASOURCE_7
OC_ACTOR_143,0,41.87,41.87,NULL,2022-10-11,2022-10-11,OC_DATASOURCE_7
OC_ACTOR_144,0,41.8686935,2.4177195,NULL,2022-10-11,2022-10-11,OC_DATASOURCE_7
OC_ACTOR_146,0,6.12754,0.799642,NULL,2022-10-11,2022-10-11,OC_DATASOURCE_7
OC_ACTOR_147,0,41.63834275,42.9931184,NULL,2022-10-11,2022-10-11,OC_DATASOURCE_7
OC_ACTOR_148,0,42.03852,45.206841,NULL,2022-10-11,2022-10-11,OC_DATASOURCE_7
OC_ACTOR_149,0,41.150494,44.763959,NULL,2022-10-11,2022-10-11,OC_DATASOURCE_7
OC_ACTOR_151,0,43.2586259,27.8173611,NULL,2022-10-11,2022-10-11,OC_DATASOURCE_7
OC_ACTOR_152,0,41.167548,80.263387,NULL,2022-10-11,2022-10-11,OC_DATASOURCE_7
OC_ACTOR_153,0,65.6825696,-18.0913026,NULL,2022-10-11,2022-10-11,OC_DATASOURCE_7
OC_ACTOR_154,0,41.249166,-1.1560465,NULL,2022-10-11,2022-10-11,OC_DATASOURCE_7
