id,name,URL,created,last_updated
OC_PUBLISHER_1,OpenEarth Foundation,https://www.openearth.org/,2022-10-11,2022-10-11
OC_PUBLISHER_2,Data-Driven Envirolab,http://datadrivenlab.org/,2022-10-11,2022-10-11
OC_PUBLISHER_3,UNFCCC Global Climate Action,https://climateaction.unfccc.int/,2022-10-11,2022-10-11
OC_PUBLISHER_4,Net Zero Tracker,https://zerotracker.net/,2022-10-11,2022-10-11
OC_PUBLISHER_5,ValueGrid,https://valuegrid.io,2022-10-11,2022-10-11
OC_PUBLISHER_6,GLOBAL COVENANT of MAYORS,https://www.globalcovenantofmayors.org/,2022-10-11,2022-10-11
OC_PUBLISHER_7,WikiData,https://www.wikidata.org/wiki/Wikidata:Main_Page,2022-10-11,2022-10-11
OC_PUBLISHER_8,International Monetary Fund,https://www.imf.org/,2022-10-11,2022-10-11
